"MEMBER_NO","POLY_NM","HG_NM"
2100000000233,"국민의힘","전봉민"
2100000000108,"국민의힘","박형수"
2100000000016,"국민의힘","권명호"
2100000000250,"더불어민주당","정태호"
2100000000298,"자유통일당","황보승희"
2100000000268,"더불어민주당","천준호"
2100000000086,"더불어민주당","민형배"
2100000000113,"국민의힘","백종헌"
2100000000116,"더불어민주당","서동용"
2100000000212,"더불어민주당","이정문"
2100000000230,"국민의힘","장제원"
2100000000262,"국민의힘","조해진"
2100000000187,"국민의힘","이달곤"
2100000000039,"더불어민주당","김상희"
2100000000109,"더불어민주당","박홍근"
2100000000090,"국민의힘","박대출"
2100000000066,"무소속","김진표"
2100000000059,"더불어민주당","김윤덕"
2100000000164,"국민의힘","유의동"
2100000000231,"더불어민주당","장철민"
2100000000237,"더불어민주당","전해철"
2100000000138,"더불어민주당","신정훈"
2100000000255,"국민의힘","조수진"
2100000000007,"더불어민주당","강선우"
2100000000209,"더불어민주당","이인영"
2100000000114,"더불어민주당","백혜련"
2100000000206,"개혁신당","이원욱"
2100000000036,"국민의힘","김병욱"
2100000000287,"더불어민주당","허영"
2100000000032,"더불어민주당","김민석"
2100000000080,"국민의힘","류성걸"
2100000000110,"국민의힘","배준영"
2100000000072,"국민의힘","김형동"
2100000000286,"더불어민주당","한준호"
2100000000160,"국민의힘","유경준"
2100000000083,"더불어민주당","문정복"
2100000000244,"국민의힘","정점식"
2100000000309,"더불어민주당","이재명"
2100000000088,"더불어민주당","박광온"
2100000000317,"더불어민주당","허숙정"
2100000000063,"무소속","김종민"
2100000000205,"국민의힘","이용호"
2100000000029,"더불어민주당","김두관"
2100000000021,"더불어민주당","권칠승"
2100000000211,"더불어민주당","이재정"
2100000000235,"더불어민주당","전재수"
2100000000010,"더불어민주당","강훈식"
2100000000053,"더불어민주당","김영호"
2100000000258,"개혁신당","조응천"
2100000000043,"더불어민주당","김성주"
2100000000172,"국민의힘","윤영석"
2100000000290,"더불어민주당","홍기원"
2100000000026,"국민의힘","김기현"
2100000000292,"국민의힘","홍석준"
2100000000279,"국민의힘","태영호"
2100000000263,"더불어민주당","주철현"
2100000000215,"국민의힘","이주환"
2100000000159,"더불어민주당","위성곤"
2100000000228,"더불어민주당","임호선"
2100000000256,"더불어민주당","조승래"
2100000000179,"국민의힘","윤한홍"
2100000000040,"국민의힘","김석기"
2100000000130,"국민의힘","송석준"
2100000000133,"더불어민주당","송옥주"
2100000000162,"더불어민주당","유동수"
2100000000034,"더불어민주당","김병기"
2100000000144,"더불어민주당","안호영"
2100000000194,"무소속","이상헌"
2100000000042,"국민의힘","김성원"
2100000000219,"국민의힘","이태규"
2100000000125,"국민의힘","성일종"
2100000000253,"국민의힘","조경태"
2100000000117,"국민의힘","서범수"
2100000000207,"더불어민주당","이원택"
2100000000177,"더불어민주당","윤준병"
2100000000243,"더불어민주당","정일영"
2100000000156,"기본소득당","용혜인"
2100000000190,"국민의힘","이명수"
2100000000067,"더불어민주당","김철민"
2100000000214,"국민의힘","이종성"
2100000000126,"더불어민주당","소병철"
2100000000278,"국민의힘","추경호"
2100000000183,"더불어민주당","이개호"
2100000000129,"더불어민주당","송기헌"
2100000000135,"더불어민주당","신동근"
2100000000062,"더불어민주당","김정호"
2100000000119,"더불어민주당","서삼석"
2100000000103,"더불어민주당","박재호"
2100000000273,"더불어민주당","최인호"
2100000000249,"더불어민주당","정춘숙"
2100000000013,"더불어민주당","고용진"
2100000000189,"국민의힘","이만희"
2100000000022,"더불어민주당","기동민"
2100000000082,"더불어민주당","맹성규"
2100000000176,"국민의힘","윤주경"
2100000000236,"국민의힘","전주혜"
2100000000148,"더불어민주당","양이원영"
2100000000061,"국민의힘","김정재"
2100000000128,"더불어민주당","송갑석"
2100000000131,"국민의힘","송언석"
2100000000027,"더불어민주당","김남국"
2100000000234,"더불어민주당","전용기"
2100000000218,"더불어민주당","이탄희"
2100000000085,"더불어민주당","민병덕"
2100000000145,"더불어민주당","양경숙"
2100000000296,"더불어민주당","홍정민"
2100000000073,"더불어민주당","김홍걸"
2100000000312,"국민의힘","김영선"
2100000000306,"국민의힘","정우택"
2100000000321,"정의당","이자스민"
2100000000304,"국민의힘","임병헌"
2100000000023,"더불어민주당","김경만"
2100000000300,"더불어민주당","황희"
2100000000303,"국민의힘","조은희"
2100000000106,"국민의힘","박진"
2100000000181,"더불어민주당","윤후덕"
2100000000028,"국민의힘","김도읍"
2100000000077,"더불어민주당","남인순"
2100000000171,"더불어민주당","윤영덕"
2100000000121,"더불어민주당","서영석"
2100000000201,"국민의힘","이용"
2100000000104,"더불어민주당","박정"
2100000000044,"더불어민주당","김성환"
2100000000107,"더불어민주당","박찬대"
2100000000217,"국민의힘","이철규"
2100000000307,"국민의힘","노용호"
2100000000246,"국민의힘","정진석"
2100000000227,"더불어민주당","임종성"
2100000000019,"국민의힘","권은희"
2100000000208,"정의당","이은주"
2100000000081,"정의당","류호정"
2100000000288,"국민의힘","허은아"
2100000000137,"국민의힘","신원식"
2100000000269,"더불어민주당","최강욱"
2100000000247,"국민의힘","정찬민"
2100000000041,"국민의힘","김선교"
2100000000261,"국민의힘","조태용"
2100000000193,"무소속","이상직"
2100000000200,"국민의힘","이영"
2100000000184,"더불어민주당","이광재"
2100000000060,"국민의힘","김은혜"
2100000000132,"더불어민주당","송영길"
2100000000070,"국민의힘","김태흠"
2100000000155,"더불어민주당","오영훈"
2100000000100,"국민의힘","박완수"
2100000000297,"국민의힘","홍준표"
2100000000014,"무소속","곽상도"
2100000000185,"더불어민주당","이규민"
2100000000186,"더불어민주당","이낙연"
2100000000182,"국민의힘","윤희숙"
2100000000245,"더불어민주당","정정순"
2100000000065,"열린민주당","김진애"
